pixel_x,pixel_y,square_z,square_y
3136.79736328125,1569.1890869140625,4.0,1.0
3086.271728515625,1599.450439453125,5.0,1.0
3027.970703125,1633.53173828125,6.0,1.0
2951.23583984375,1673.119384765625,7.0,1.0
2854.879638671875,1720.086181640625,8.0,1.0
2730.188720703125,1773.5177001953125,9.0,1.0
2566.0791015625,1833.79150390625,10.0,1.0
2346.79150390625,1896.13916015625,11.0,1.0
2067.126220703125,1952.61962890625,12.0,1.0
1732.1400146484375,1987.34521484375,13.0,1.0
1379.97314453125,1989.3211669921875,14.0,1.0
1057.9140625,1959.9193115234375,15.0,1.0
793.4392700195312,1911.3897705078125,16.0,1.0
588.39892578125,1858.023193359375,17.0,1.0
434.41259765625,1806.79150390625,18.0,1.0
317.0386047363281,1761.5181884765625,19.0,1.0
225.2305908203125,1721.570556640625,20.0,1.0
154.62603759765625,1687.0172119140625,21.0,1.0
96.87767791748047,1657.16796875,22.0,1.0
3056.333740234375,1445.7822265625,4.0,2.0
2856.778076171875,1509.0592041015625,7.0,2.0
2756.240234375,1534.7467041015625,8.0,2.0
2628.80126953125,1566.9124755859375,9.0,2.0
2465.822265625,1598.877197265625,10.0,2.0
2258.94384765625,1632.9451904296875,11.0,2.0
2004.2535400390625,1661.6280517578125,12.0,2.0
1709.8299560546875,1680.756591796875,13.0,2.0
1403.5257568359375,1685.859130859375,14.0,2.0
1118.68408203125,1673.93017578125,15.0,2.0
876.07373046875,1654.29736328125,16.0,2.0
680.8347778320312,1628.595458984375,17.0,2.0
529.0808715820312,1604.776611328125,18.0,2.0
407.8409423828125,1580.5450439453125,19.0,2.0
311.154296875,1558.7991943359375,20.0,2.0
235.50411987304688,1540.2923583984375,21.0,2.0
173.32460021972656,1523.6585693359375,22.0,2.0
121.28984069824219,1508.3099365234375,23.0,2.0
2759.403076171875,1362.87451171875,7.0,3.0
2654.388427734375,1376.8626708984375,8.0,3.0
2526.67578125,1388.9697265625,9.0,3.0
2366.836181640625,1404.601318359375,10.0,3.0
2173.766357421875,1417.5396728515625,11.0,3.0
1944.7772216796875,1430.669189453125,12.0,3.0
1688.91455078125,1442.27490234375,13.0,3.0
1425.1995849609375,1446.2784423828125,14.0,3.0
1176.715576171875,1447.140380859375,15.0,3.0
956.9633178710938,1442.9244384765625,16.0,3.0
772.84716796875,1436.494140625,17.0,3.0
623.8103637695312,1431.02978515625,18.0,3.0
501.1632385253906,1422.386962890625,19.0,3.0
401.35491943359375,1416.0692138671875,20.0,3.0
321.6589660644531,1409.7335205078125,21.0,3.0
2751.598876953125,1239.474853515625,6.0,4.0
2663.447021484375,1240.953857421875,7.0,4.0
2557.423095703125,1242.0914306640625,8.0,4.0
2430.018310546875,1245.9720458984375,9.0,4.0
2277.2900390625,1248.4149169921875,10.0,4.0
2097.967041015625,1252.459716796875,11.0,4.0
1893.7879638671875,1257.3548583984375,12.0,4.0
1671.5810546875,1261.394775390625,13.0,4.0
1444.04443359375,1265.959228515625,14.0,4.0
1226.8048095703125,1271.555419921875,15.0,4.0
1029.4512939453125,1277.661376953125,16.0,4.0
857.9451293945312,1281.65478515625,17.0,4.0
712.8692016601562,1286.004638671875,18.0,4.0
591.7066650390625,1289.71923828125,19.0,4.0
489.59552001953125,1291.6558837890625,20.0,4.0
404.6122741699219,1293.7344970703125,21.0,4.0
2746.116455078125,1141.6016845703125,5.0,5.0
2666.448974609375,1140.137939453125,6.0,5.0
2575.947021484375,1134.399169921875,7.0,5.0
2469.567138671875,1130.1363525390625,8.0,5.0
2345.49853515625,1125.7564697265625,9.0,5.0
2201.0556640625,1122.2789306640625,10.0,5.0
2036.109375,1118.80126953125,11.0,5.0
1853.0916748046875,1119.74560546875,12.0,5.0
1657.9193115234375,1122.1204833984375,13.0,5.0
1459.037841796875,1126.791748046875,14.0,5.0
1267.217529296875,1134.2723388671875,15.0,5.0
1089.079833984375,1143.8984375,16.0,5.0
930.8534545898438,1154.4822998046875,17.0,5.0
793.0183715820312,1165.21142578125,18.0,5.0
674.1448364257812,1175.8975830078125,19.0,5.0
572.697021484375,1184.328125,20.0,5.0
485.9457702636719,1194.135986328125,21.0,5.0
411.5788269042969,1200.2303466796875,22.0,5.0
348.55108642578125,1207.7515869140625,23.0,5.0
2735.101806640625,1065.12109375,4.0,6.0
2496.592529296875,1043.1080322265625,7.0,6.0
2391.814697265625,1034.05908203125,8.0,6.0
2272.603271484375,1026.517578125,9.0,6.0
2135.887939453125,1018.4878540039062,10.0,6.0
1984.3140869140625,1014.5274047851562,11.0,6.0
1819.8673095703125,1012.2933959960938,12.0,6.0
1646.42919921875,1013.9151611328125,13.0,6.0
1471.004638671875,1017.8405151367188,14.0,6.0
1300.2176513671875,1026.3270263671875,15.0,6.0
1139.5638427734375,1037.3785400390625,16.0,6.0
992.9122924804688,1050.0723876953125,17.0,6.0
862.18310546875,1063.9013671875,18.0,6.0
747.2313842773438,1077.293701171875,19.0,6.0
646.7455444335938,1091.6234130859375,20.0,6.0
560.6583251953125,1103.8863525390625,21.0,6.0
485.04986572265625,1116.062744140625,22.0,6.0
418.710693359375,1124.3428955078125,23.0,6.0
2663.3359375,1000.989013671875,4.0,7.0
2421.6591796875,970.2239990234375,7.0,7.0
2319.723876953125,963.344482421875,8.0,7.0
2204.415283203125,954.942626953125,9.0,7.0
2078.80517578125,944.97314453125,10.0,7.0
1940.537109375,936.8975219726562,11.0,7.0
1791.8782958984375,936.1727905273438,12.0,7.0
1637.287841796875,937.0282592773438,13.0,7.0
1481.663818359375,943.9951171875,14.0,7.0
1329.79541015625,953.0720825195312,15.0,7.0
1184.3717041015625,963.0545043945312,16.0,7.0
1049.0723876953125,974.993896484375,17.0,7.0
926.0811767578125,988.1661376953125,18.0,7.0
815.201416015625,1001.993896484375,19.0,7.0
718.640625,1016.4403686523438,20.0,7.0
631.7685546875,1031.1318359375,21.0,7.0
553.581298828125,1044.27587890625,22.0,7.0
486.4336853027344,1057.0999755859375,23.0,7.0
2593.872802734375,946.3101196289062,4.0,8.0
2524.27294921875,934.8693237304688,5.0,8.0
2444.9892578125,924.180908203125,6.0,8.0
2355.635986328125,913.7339477539062,7.0,8.0
2257.27490234375,904.1156005859375,8.0,8.0
2149.42138671875,893.0389404296875,9.0,8.0
2031.55810546875,884.1985473632812,10.0,8.0
1903.3070068359375,879.6925659179688,11.0,8.0
1769.042724609375,876.4889526367188,12.0,8.0
1629.9073486328125,878.3802490234375,13.0,8.0
1489.92529296875,882.8807983398438,14.0,8.0
1352.5211181640625,890.6200561523438,15.0,8.0
1220.88037109375,902.06494140625,16.0,8.0
1095.982666015625,913.6930541992188,17.0,8.0
982.08642578125,928.9656372070312,18.0,8.0
876.7822875976562,942.7088623046875,19.0,8.0
781.385986328125,957.7570190429688,20.0,8.0
695.6207275390625,970.1656494140625,21.0,8.0
620.1616821289062,986.23876953125,22.0,8.0
549.8943481445312,1001.0473022460938,23.0,8.0
2534.39013671875,895.2725219726562,4.0,9.0
2461.286865234375,882.2460327148438,5.0,9.0
2384.302978515625,872.0739135742188,6.0,9.0
2298.458740234375,860.19287109375,7.0,9.0
2203.470458984375,851.6881103515625,8.0,9.0
2101.419921875,841.3901977539062,9.0,9.0
1990.2044677734375,836.1510620117188,10.0,9.0
1873.04248046875,830.8322143554688,11.0,9.0
1749.9185791015625,828.4662475585938,12.0,9.0
1623.9295654296875,828.95458984375,13.0,9.0
1496.700439453125,833.6015014648438,14.0,9.0
1371.849609375,839.7582397460938,15.0,9.0
1250.84423828125,849.8118896484375,16.0,9.0
1135.0958251953125,860.5932006835938,17.0,9.0
1027.3883056640625,873.406494140625,18.0,9.0
928.5709838867188,888.06787109375,19.0,9.0
837.2720336914062,902.5289916992188,20.0,9.0
753.90966796875,918.3572998046875,21.0,9.0
679.0738525390625,932.0032348632812,22.0,9.0
610.2301025390625,946.99853515625,23.0,9.0
2407.358154296875,837.6238403320312,5.0,10.0
2329.66259765625,826.3950805664062,6.0,10.0
2247.694580078125,816.2613525390625,7.0,10.0
2155.424072265625,806.3436279296875,8.0,10.0
2059.835693359375,798.2681884765625,9.0,10.0
1953.8658447265625,792.431884765625,10.0,10.0
1847.210693359375,787.8338623046875,11.0,10.0
1734.2125244140625,783.9032592773438,12.0,10.0
1618.33837890625,784.9989013671875,13.0,10.0
1502.3892822265625,790.8718872070312,14.0,10.0
1387.961669921875,796.3267822265625,15.0,10.0
1276.6849365234375,806.2176513671875,16.0,10.0
1171.843017578125,814.9859008789062,17.0,10.0
1068.8509521484375,829.4251098632812,18.0,10.0
973.25341796875,842.1478881835938,19.0,10.0
885.8720703125,856.7075805664062,20.0,10.0
805.2208251953125,869.865966796875,21.0,10.0
731.79443359375,885.774169921875,22.0,10.0
2357.938232421875,796.786865234375,5.0,11.0
2283.084228515625,786.7075805664062,6.0,11.0
2202.367919921875,776.1746826171875,7.0,11.0
2115.8564453125,767.6509399414062,8.0,11.0
2022.5074462890625,761.4260864257812,9.0,11.0
1926.97705078125,754.1912841796875,10.0,11.0
1825.8753662109375,748.2345581054688,11.0,11.0
1720.781494140625,746.2661743164062,12.0,11.0
1614.1734619140625,747.3646240234375,13.0,11.0
1507.0401611328125,753.138427734375,14.0,11.0
1401.691650390625,760.2328491210938,15.0,11.0
1297.9779052734375,768.1797485351562,16.0,11.0
1198.345947265625,776.6907348632812,17.0,11.0
1105.8292236328125,787.8719482421875,18.0,11.0
1013.2982177734375,803.4010009765625,19.0,11.0
929.5298461914062,816.0299682617188,20.0,11.0
852.6691284179688,830.4390258789062,21.0,11.0
780.24951171875,844.24951171875,22.0,11.0
2311.20703125,764.7271728515625,5.0,12.0
2239.06982421875,751.7306518554688,6.0,12.0
1993.607421875,727.9200439453125,9.0,12.0
1902.65673828125,719.8919677734375,10.0,12.0
1610.2449951171875,716.5567626953125,13.0,12.0
1510.989990234375,722.0284423828125,14.0,12.0
1412.8133544921875,728.6660766601562,15.0,12.0
1317.1846923828125,737.6458740234375,16.0,12.0
1223.73486328125,744.2081298828125,17.0,12.0
1134.0831298828125,753.2340698242188,18.0,12.0
